,GAMAID,0I,OI_x,ID,RaHer,DecHer,RaSDSS,DECSDSS,z,size,morph,LIR,Ms,Md,mdms,SFR,SSFR,age_x,tLB,Td,fu,tauV,tauVISM,NUVr,sigmaden,HaEW,MH2,MH2err,mh2ms,mh2mserr,mh2md,mh2mderr,numCO,velFWHM,evelFWHM,Fint,eFint,LpCO,eLpCO,MhtwoCO,MHtwoCOerr,det,velFWHM2,evelFWHM2,Fint2,eFint2,LpCO2,eLpCO2,Mh22,eMH22,det2,MHI,eMHI,S12,S25,S60,S100,F100,E100,F160,E160,F250,E250,F350,E350,F500,E500,rer,sersicr,errsersicr,SURVEY,SURVEY_CODE,IS_BEST,IS_SBEST,QC,met,met_er0,met_er1,SFR_HA,SFR_HA_er,age_y,AGN,HA,HA_er,HB,HB_er,OI_y,OI_er,OIII,OIII_er,NII,NII_er,SII,SII_er,HA_EW,HA_EW_er
0,216401,1,1.0,J091205.8+002656,138.02424,0.448985,138.02437,0.44889187,0.0544562,9.983,E,11.0,10.199999809,7.5799999237,-2.6199998856,0.74000000954,-9.470000267,9.0799999237,9.0399999619,24.100000381,0.5,3.5999999046,1.2699999809,-99.0,2.9200000763,27.540000916,7158908928.0,945954944.0,-0.34515285492,0.05389881134,2.2748470306,0.05389881134,1.0,157.89202881,20.162736893,10.463904381,1.3826662302,-89760208.0,162837648.0,7158908928.0,945954944.0,1.0,226.31311035,12.188932419,19.40735054,3.4723689556,-198165072.0,109918768.0,6638796288.0,1187815424.0,1.0,-99.0,-99.0,0.10499999672,0.15000000596,0.79600000381,1.1859999895,1.0965774059,0.026287019253,0.90946424007,0.026287019253,0.37509444,0.011489476,0.15139734857,0.0081090077629,0.054754694621,0.0094125619161,2.6934227943,3.3482999802,0.039400000125,SDSS,1,True,True,40,-3.66285044516274,0.011984704359161677,0.0124556156483528,348.45067961952446,3.6975090948975495,9.0799999237,NO,756807.5575127862,8030.699868475539,41566.4402693556,15940.06191597083,13486.715005642413,1890.6414159772864,28856.33463820306,12102.10115805855,64060.0967454722,1788.2239241722657,40853.33581972709,1404.7785382103984,26.694635,0.3021661
1,551063,2,2.0,J091448.7-003533,138.70319,-0.592773,138.70411,-0.59249794,0.05392,14.0029,E,10.43999958,10.449999809,7.5,-2.9499998093,0.070000000298,-10.399999619,9.5200004578,9.3800001144,21.5,0.73000001907,2.3099999428,0.68999999762,-99.0,1.0199999809,8.3900003433,4653199872.0,881793408.0,-0.78224849701,0.075366020203,2.1677513123,0.075366020203,2.0,268.25234985,22.092405319,6.9391460419,1.3149862289,-437703584.0,171679488.0,4653199872.0,881793408.0,1.0,193.57485962,70.670127869,5.5902075768,2.6788058281,-147381376.0,89574376.0,1874319232.0,898166592.0,1.0,8005346304.0,661331904.0,-99.0,-99.0,-99.0,-99.0,0.33443325758,0.029837841168,0.41142034531,0.029837841168,0.25,0.015483253,0.108,0.015375453,0.028621,0.009141,4.9693670273,1.1641000509,0.0087999999523,GAMA,5,True,True,13,-3.4395834778508823,0.050178005592196144,0.0596409960605557,0.3472958478410723,0.010605878388194614,9.5200004578,UNC,766.1634,23.397446,0.0,57.36551,59.253162,18.08977,192.97336,49.505157,131.15012,18.485249,151.12805,15.716761,6.4769626,0.21056783
2,3629182,11,11.0,J090352.0-005353,135.96692,-0.898088,135.96688,-0.89808621,0.10269,11.0524,E,11.0,10.960000038,7.9699997902,-2.990000248,0.62000000477,-10.340000153,9.4099998474,9.25,22.200000763,0.73000001907,2.2000000477,0.63999998569,3.7699999809,0.059999998659,14.869999886,18049863680.0,2144673792.0,-0.70352649689,0.048760414124,2.2864737511,0.048760414124,11.0,426.5453186,60.085300446,7.2579450607,0.86238449812,-469794912.0,327101312.0,18049863680.0,2144673792.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.32014206052,0.027014560997,0.47178155184,0.027014560997,0.20483269,0.011928339,0.099709078085,0.0079836907666,0.041406919631,0.0094971340199,2.4074084759,5.8134999275,0.096299998462,GAMA,5,True,True,13,-3.3626001540582826,0.01290613473233729,0.0134539069005746,2.534426504705823,0.026069966213567455,9.4099998474,YES,1510.8224,15.540829,0.0,14.742571,39.043617,10.291752,297.92282,23.080767,329.69876,10.307206,236.73586,9.799507,12.597554,0.1422236
3,382631,0,,J091051.1+020121,137.71294,2.022705,137.71356,2.0218854,0.0546369,8.82106,E,10.0,9.8699998856,7.7399997711,-2.1300001144,-0.12999999523,-10.06000042,9.2899999619,9.0500001907,15.699999809,0.57999998331,1.7100000381,0.46000000834,2.5899999142,0.46000000834,12.630000114,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5284425728.0,752418112.0,-99.0,-99.0,-99.0,-99.0,-1.0,-1.0,-1.0,-1.0,0.11079295583,0.0068200551002,0.091373834328,0.0080180697656,0.062305626154,0.0098249814343,2.3748984337,1.3863999844,0.011599999852,SDSS,1,True,True,13,-3.4252014177248395,0.033340016189414325,0.0372626690608254,0.3954943947931225,0.008735054902039054,9.2899999619,UNC,855.44995,18.893826,0.0,28.377558,1.1856724,13.481087,63.900677,25.289642,153.22984,13.607436,121.63943,10.992455,11.055795,0.25525844
4,376901,12,12.0,J090234.3+012518,135.64312,1.421861,135.64278,1.421251,0.115655,8.46753,E,10.720000267,10.960000038,7.75,-3.2100000381,-0.43999999762,-11.390000343,9.6700000763,9.3100004196,22.899999619,0.93000000715,3.0199999809,0.87999999523,5.25,1.0800000429,5.2399997711,5797322240.0,1626215168.0,-1.1967725754,0.10738372803,2.0132274628,0.10738372803,12.0,302.30490112,-0.0,1.8277487755,0.51270437241,-316561248.0,147431120.0,5797322240.0,1626215168.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.18652869761,0.024831939489,0.18162322044,0.024831939489,0.11016449016,0.0068535174987,0.05575164637,0.0080868277636,0.021835264265,0.0094417967174,2.5342624187,3.4189999104,0.079099997878,SDSS,1,True,True,10,-3.155063349353968,0.054187527321526215,0.065398259011467,0.3561924642440252,0.023290260565958138,9.6700000763,NOEL,166.89787,10.912906,-117.9378,17.069332,23.45114,7.8628902,2.7264082,15.781634,70.089294,8.481419,49.597996,7.7265897,3.4748576,0.23157836
5,302190,0,,J090647.7+011555,136.69879,1.265357,136.69869,1.265113,0.147682,6.45982,E,10.909999847,10.5,8.029999733,-2.470000267,0.79000002146,-9.720000267,9.0,8.6899995804,20.399999619,0.56999999285,2.5299999714,0.47999998927,3.0699999332,0.079999998212,24.350000381,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,0.18027845025,0.024104401469,0.10190868902,0.0067196679046,0.047075939624,0.0079282407682,0.021307993742,0.0095848384237,1.3826793432,1.8272999525,0.02710000053,SDSS,1,True,True,10,-3.516663898608253,0.02201910969265724,0.0236633138937845,3.6302520822732296,0.04729052117672467,9.0,NOEL,1029.8296,13.415371,48.06647,25.719652,39.529816,8.065975,29.585636,16.504713,138.2366,8.141467,136.62505,9.279066,22.141794,0.31108335
6,3628218,0,,J090101.2-005541,135.25527,-0.928302,135.25551,-0.92860701,0.08905,12.4291,E,10.359999657,10.819999695,7.6700000763,-3.1499996185,0.11999999732,-10.710000038,9.5100002289,9.3299999237,19.0,0.68000000715,1.1000000238,0.20999999344,3.9300000668,0.0099999997765,5.0100002289,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.09470991,0.012231098,0.048319128587,0.0079437667677,0.0083611531696,0.0094125619161,3.2014143467,4.4060997963,0.040199998766,GAMA,5,True,True,10,-3.362867311900229,0.04733216605860972,0.0556601973116342,0.4666171835259272,0.016022348602423804,9.5100002289,NOEL,371.64886,12.761398,-298.4632,27.112213,34.927284,12.522648,20.81255,23.78909,81.034645,10.26545,32.028652,11.01325,2.8921916,0.1025753
7,376893,13,13.0,J090238.7+013253,135.66161,1.548268,135.66137,1.5480024,0.11599,5.66908,E,10.779999733,10.380000114,7.6700000763,-2.7100000381,0.46000000834,-9.970000267,9.1099996567,8.6099996567,23.0,0.68000000715,2.4400000572,0.81999999285,3.5399999619,0.62999999523,39.299999237,9986359296.0,1073317184.0,-0.38059329987,0.044335365295,2.3294067383,0.044335365295,13.0,254.13330078,15.661178589,3.1298499107,0.33639103174,232844000.0,190706400.0,9986359296.0,1073317184.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.17923052609,0.024104401469,0.21252298355,0.024104401469,0.086346582304,0.0067729986023,0.046770964633,0.0079526387675,0.026812489185,0.0095743974233,1.0043553114,2.0520999432,0.047499999404,SDSS,1,True,True,13,-3.605969622817612,0.017938987987184955,0.0190152437410403,39.057546950146815,0.4776141555249386,9.1099996567,NO,18141.663060935352,221.8448356146453,2809.581784364845,298.5643769885669,421.5710492837912,68.60679744386145,412.0917040173086,250.9667281109384,1837.376516288146,84.49475680959038,1652.6871495130786,64.58421769461955,37.83317,0.5111204
8,372410,0,,J090223.1+010709,135.59661,1.119413,135.59656,1.1195646,0.204151,10.367,E,11.039999962,11.020000458,8.220000267,-2.8000001907,0.43999999762,-10.630000114,9.3100004196,8.8999996185,20.799999237,0.82999998331,2.0799999237,0.60000002384,4.3400001526,-99.0,8.8699998856,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,0.15369910002,0.024104401469,0.087707037945,0.0067646330026,0.043707906722,0.0080591027644,0.015104995368,0.0094637228184,4.0383033752,3.1747999191,0.070000000298,SDSS,1,True,True,13,-3.241437483827711,0.06571534009904213,0.0829969717190948,2.459901911328604,0.15133213371152154,9.3100004196,UNC,357.9501,22.02094,0.0,26.780357,23.498789,12.930037,53.546364,21.50331,114.47289,19.324022,82.82692,13.225204,6.3689904,0.40415907
9,3630239,10,10.0,J090718.9-005210,136.82875,-0.869542,136.82913,-0.86927494,0.05846,7.42347,E,10.550000191,9.6499996185,6.9299998283,-2.7199997902,0.40999999642,-9.25,8.9200000763,8.8000001907,24.100000381,0.36000001431,1.3300000429,0.5,2.3699998856,0.0099999997765,109.06999969,1730024576.0,280404768.0,-0.41194725037,0.065236091614,2.3080525398,0.065236091614,10.0,241.79203796,18.19433403,2.1899821758,0.35495534539,-55039996.0,42038892.0,1730024576.0,280404768.0,1.0,168.17880249,19.325408936,2.1160087585,0.70829057693,-32219418.0,22736632.0,835793856.0,279764864.0,1.0,-99.0,-99.0,0.10400000215,0.1630000025,0.21299999952,0.53700000048,0.29857629538,0.024104401469,0.19757637382,0.024104401469,0.085256962952,0.0068535174987,0.022338586347,0.0079537477674,0.0072711127214,0.0091985214067,1.2883355618,2.0708999634,0.035000000149,GAMA,5,True,True,40,-3.790059062440325,0.005973742474048435,0.0060884681054064,16.365063055933543,0.04247228207657057,8.9200000763,NO,30773.641834691585,79.86689645246922,5811.236533151957,151.0004528609156,706.0468581250228,29.265123568296293,2824.8403013332186,115.007555158583,1743.9042855627906,28.64515117264867,3255.9627756493974,27.06035093327263,88.73196,0.3660098
10,210424,0,,J091332.4+000631,138.38537,0.108888,138.38623,0.10834602,0.22564,7.50765,E,11.130000114,10.880000114,8.0699996948,-2.8100004196,-0.090000003576,-10.960000038,9.0,8.779999733,23.700000763,0.93000000715,3.6500000954,0.83999997377,4.4899997711,-99.0,14.760000229,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.15752540529,0.024104401469,0.14719992876,0.024104401469,0.078445273452,0.0068221465001,0.035313885967,0.0080313777652,0.014357419735,0.009387503515,2.9926242828,3.1233000755,0.096299998462,SDSS,1,True,True,13,-3.2176508657352403,0.036448119711262765,0.0411893789049095,4.754200987227184,0.15642091614837528,9.0,YES,562.71265,18.514158,-42.95295,22.955744,69.1714,22.310122,60.01682,17.908236,193.97745,17.251043,152.14185,14.805364,13.304001,0.46755442
11,377420,0,,J091023.1+014023,137.59641,1.67326,137.59606,1.6730341,0.137505,6.32505,E,10.460000038,10.819999695,8.3999996185,-2.4200000763,-1.0800000429,-11.880000114,9.8000001907,9.4799995422,15.699999809,0.94999998808,3.6800000668,0.70999997854,-5.1900000572,0.070000000298,0.47999998927,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.024104401469,-99.0,0.024104401469,0.084060682205,0.006893254097,0.071964116896,0.0080491217647,0.044380516562,0.0093614010139,1.6407260895,4.7979001999,0.26199999452,SDSS,1,True,True,0,-99.9,-99.9,-99.9,-99.9,-99.9,9.8000001907,NOEL,-34.567513,7.2341595,-61.248367,14.601727,-2.9298902,6.1548257,-5.776037,14.14531,10.9666,5.8711143,-5.079826,7.177619,-1.1000623,0.23141502
12,550781,9,9.0,J090952.3-003019,137.46795,-0.505508,137.46834,-0.50464337,0.0483198,9.48356,E,9.9300003052,10.279999733,6.9699997902,-3.3099999428,-0.93000000715,-11.170000076,9.6499996185,9.3500003815,22.399999619,0.89999997616,1.8600000143,0.56000000238,4.6799998283,0.0099999997765,12.68999958,728161280.0,160458160.0,-1.4177722931,0.086488723755,1.8922276497,0.086488723755,9.0,237.06350708,56.483283997,1.3558626175,0.29877889156,-50503184.0,24422444.0,728161280.0,160458160.0,1.0,235.48199463,21.677825928,2.6784732342,0.40888655186,-16687372.0,9386520.0,719232320.0,109795544.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.17686468363,0.025559481233,0.14338703454,0.025559481233,0.090604611,0.011393341,0.042928279745,0.0079670557671,0.022921128313,0.0090043187981,2.014778614,3.0852000713,0.041900001466,SDSS,1,True,True,13,-3.276685162926054,0.018287989422255027,0.0194078501571906,0.4466954382381998,0.007511392470928902,9.6499996185,UNC,1239.7831,20.847532,50.235588,26.52615,87.53976,14.078041,336.84164,25.443989,354.7655,15.100662,314.98068,13.503858,11.407513,0.19875036
